"filename", "language", "YAML", "Markdown", "PHP", "JSON", "Properties", "comment", "blank", "total"
"c:\wamp64\www\omika\.env", "Properties", 0, 0, 0, 0, 12, 44, 12, 68
"c:\wamp64\www\omika\README.md", "Markdown", 0, 8, 0, 0, 0, 0, 0, 8
"c:\wamp64\www\omika\Routes.md", "Markdown", 0, 3, 0, 0, 0, 0, 5, 8
"c:\wamp64\www\omika\compose.override.yaml", "YAML", 12, 0, 0, 0, 0, 4, 3, 19
"c:\wamp64\www\omika\compose.yaml", "YAML", 16, 0, 0, 0, 0, 7, 3, 26
"c:\wamp64\www\omika\composer.json", "JSON", 0, 0, 0, 118, 0, 0, 1, 119
"c:\wamp64\www\omika\composer.lock", "JSON", 0, 0, 0, 10880, 0, 0, 1, 10881
"c:\wamp64\www\omika\config\bundles.php", "PHP", 0, 0, 19, 0, 0, 0, 2, 21
"c:\wamp64\www\omika\config\packages\asset_mapper.yaml", "YAML", 4, 0, 0, 0, 0, 1, 1, 6
"c:\wamp64\www\omika\config\packages\cache.yaml", "YAML", 2, 0, 0, 0, 0, 13, 5, 20
"c:\wamp64\www\omika\config\packages\debug.yaml", "YAML", 3, 0, 0, 0, 0, 2, 1, 6
"c:\wamp64\www\omika\config\packages\doctrine.yaml", "YAML", 43, 0, 0, 0, 0, 4, 6, 53
"c:\wamp64\www\omika\config\packages\doctrine_migrations.yaml", "YAML", 4, 0, 0, 0, 0, 2, 1, 7
"c:\wamp64\www\omika\config\packages\framework.yaml", "YAML", 8, 0, 0, 0, 0, 5, 4, 17
"c:\wamp64\www\omika\config\packages\gesdinet_jwt_refresh_token.yaml", "YAML", 7, 0, 0, 0, 0, 0, 1, 8
"c:\wamp64\www\omika\config\packages\lexik_jwt_authentication.yaml", "YAML", 5, 0, 0, 0, 0, 0, 0, 5
"c:\wamp64\www\omika\config\packages\mailer.yaml", "YAML", 3, 0, 0, 0, 0, 0, 1, 4
"c:\wamp64\www\omika\config\packages\messenger.yaml", "YAML", 21, 0, 0, 0, 0, 2, 6, 29
"c:\wamp64\www\omika\config\packages\monolog.yaml", "YAML", 51, 0, 0, 0, 0, 8, 4, 63
"c:\wamp64\www\omika\config\packages\nelmio_cors.yaml", "YAML", 20, 0, 0, 0, 0, 0, 2, 22
"c:\wamp64\www\omika\config\packages\notifier.yaml", "YAML", 11, 0, 0, 0, 0, 1, 1, 13
"c:\wamp64\www\omika\config\packages\routing.yaml", "YAML", 6, 0, 0, 0, 0, 3, 2, 11
"c:\wamp64\www\omika\config\packages\security.yaml", "YAML", 53, 0, 0, 0, 0, 11, 11, 75
"c:\wamp64\www\omika\config\packages\translation.yaml", "YAML", 7, 0, 0, 0, 0, 0, 1, 8
"c:\wamp64\www\omika\config\packages\twig.yaml", "YAML", 5, 0, 0, 0, 0, 0, 2, 7
"c:\wamp64\www\omika\config\packages\validator.yaml", "YAML", 6, 0, 0, 0, 0, 4, 2, 12
"c:\wamp64\www\omika\config\packages\web_profiler.yaml", "YAML", 14, 0, 0, 0, 0, 0, 4, 18
"c:\wamp64\www\omika\config\preload.php", "PHP", 0, 0, 4, 0, 0, 0, 2, 6
"c:\wamp64\www\omika\config\routes.yaml", "YAML", 11, 0, 0, 0, 0, 1, 2, 14
"c:\wamp64\www\omika\config\routes\framework.yaml", "YAML", 4, 0, 0, 0, 0, 0, 1, 5
"c:\wamp64\www\omika\config\routes\security.yaml", "YAML", 3, 0, 0, 0, 0, 0, 1, 4
"c:\wamp64\www\omika\config\routes\web_profiler.yaml", "YAML", 7, 0, 0, 0, 0, 0, 2, 9
"c:\wamp64\www\omika\config\services.yaml", "YAML", 56, 0, 0, 0, 0, 12, 15, 83
